Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Samsung Galaxy Tab A9+,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G - cellular model only",257.1 x 168.7 x 6.9 mm (10.12 x 6.64 x 0.27 in),480 g or 492 g (1.06 lb),,Nano-SIM + ,"11.0 inches, 350.9 cm","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)","Android 13, upgradable to Android 14, One UI 6.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","8 MP, AF",,1080p@30fps,5 MP,1080p@30fps,"Yes, with stereo speakers (4 speakers)",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 7040 mAh,15W wired,"Graphite, Silver, Navy",
Samsung Galaxy A15,"[{'128GB 4GB RAM': '$\u2009145.00'}, {'128GB 6GB RAM': '$\u2009139.99'}, {'256GB 8GB RAM': '€\u2009212.63'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/2.8"", 0.64µm, PDAF,
5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 26mm (wide), 1/3.06"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),FM radio (market/region dependent),USB Type-C 2.0,5000 mAh,25W wired,"Brave Black, Optimistic Blue, Magical Blue, Personality Yellow",
Samsung Galaxy A15 5G,"[{'128GB 4GB RAM': '$\u2009149.45'}, {'256GB 8GB RAM': '$\u2009207.89'}, {'128GB 6GB RAM': '£\u2009155.00'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Mediatek Dimensity 6100+ (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), AF,
5 MP, f/2.2, (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,USB Type-C 2.0,5000 mAh,25W wired,"Brave Black, Personality Yellow, Magical Blue, Optimistic Blue",
Samsung Galaxy A25,"[{'128GB 6GB RAM': '$\u2009179.99'}, {'256GB 8GB RAM': '$\u2009209.50'}, {'128GB 8GB RAM': '₹\u200916,990'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",161 x 76.5 x 8.3 mm (6.34 x 3.01 x 0.33 in),197 g (6.95 oz),"Glass front, plastic frame, plastic back",Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide), 1/4"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),Market/region dependent,USB Type-C 2.0,5000 mAh,25W wired,"Brave Black, Personality Yellow, Fantasy Blue, Optimistic Blue",
Samsung Galaxy Tab Active5,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66, 68","HSPA, LTE, 5G - cellular model only",213.8 x 126.8 x 10.1 mm (8.42 x 4.99 x 0.40 in),433 g (15.27 oz),,Nano-SIM + ,"8.0 inches, 185.6 cm","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)","Android 14, One UI 6",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","13 MP, f/1.9, AF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","5 MP, f/2.2",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 2.0, charging/accessories connector pins","Li-Po 5050 mAh, removable",,Green,About 480 EUR
Samsung Galaxy XCover7,[{'128GB 6GB RAM': '$\u2009399.99'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",169 x 80.1 x 10.2 mm (6.65 x 3.15 x 0.40 in),240 g (8.47 oz),,Nano-SIM + ,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 14, One UI 6",Mediatek Dimensity 6100+ (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF","Dual-LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.0, (wide)",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 2.0, charging connector pins","Li-Po 4050 mAh, removable",15W wired,Black,
Samsung Galaxy S24,"[{'128GB 8GB RAM': '$\u2009363.00'}, {'256GB 8GB RAM': '$\u2009487.25'}, {'512GB 8GB RAM': '€\u2009859.99'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE (up to 7CA), 5G",147 x 70.6 x 7.6 mm (5.79 x 2.78 x 0.30 in),167 g or 168 g (5.89 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + Nano-SIM + ,"6.2 inches, 94.4 cm","1080 x 2340 pixels, 19.5:9 ratio (~416 ppi density)","Android 14, up to 7 major Android upgrades, One UI 6.1.1",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm) - USA/Canada/China,8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),Adreno 750 (1 GHz) - USA/Canada/China,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS,
10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240fps, HDR10+, stereo sound rec., gyro-EIS","12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 3.2, DisplayPort 1.2, OTG",Li-Ion 4000 mAh,"25W wired, PD3.0, 50% in 30 min","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue",
Samsung Galaxy S24+,"[{'256GB 12GB RAM': '$\u2009472.36'}, {'512GB 12GB RAM': '$\u2009589.95'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE (up to 7CA), 5G",158.5 x 75.9 x 7.7 mm (6.24 x 2.99 x 0.30 in),196 g or 197 g (6.91 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + Nano-SIM + ,"6.7 inches, 110.2 cm","1440 x 3120 pixels, 19.5:9 ratio (~513 ppi density)","Android 14, up to 7 major Android upgrades, One UI 6.1.1",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm) - USA/Canada/China,8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),Adreno 750 (1 GHz) - USA/Canada/China,No,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS,
10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60fps, 1080p@30/60/120/240fps, HDR10+, stereo sound rec., gyro-EIS","12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 3.2, DisplayPort 1.2, OTG",Li-Ion 4900 mAh,"45W wired, PD3.0, 65% in 30 min","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue",
Samsung Galaxy S24 Ultra,"[{'256GB 12GB RAM': '$\u2009669.00'}, {'512GB 12GB RAM': '$\u2009769.94'}, {'1TB 12GB RAM': '$\u20091,299.99'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE (up to 7CA), 5G",162.3 x 79 x 8.6 mm (6.39 x 3.11 x 0.34 in),232 g or 233 g (8.18 oz),"Glass front (Corning Gorilla Armor), glass back (Corning Gorilla Armor), titanium frame (grade 2)",Nano-SIM + Nano-SIM + ,"6.8 inches, 113.5 cm","1440 x 3120 pixels, 19.5:9 ratio (~505 ppi density)","Android 14, up to 7 major Android upgrades, One UI 6.1.1",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),Adreno 750 (1 GHz),No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS,
10 MP, f/2.4, 67mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom,
50 MP, f/3.4, 111mm (periscope telephoto), 1/2.52"", 0.7µm, PDAF, OIS, 5x optical zoom,
12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","Laser AF, LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, HDR10+, stereo sound rec., gyro-EIS","12 MP, f/2.2, 26mm (wide), 1/3.2"", 1.12µm, dual pixel PDAF","4K@30/60fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 3.2, DisplayPort 1.2, OTG",Li-Ion 5000 mAh,"45W wired, PD3.0, 65% in 30 min","Titanium Black, Titanium Gray, Titanium Violet, Titanium Yellow, Titanium Blue, Titanium Green, Titanium Orange",
Samsung Galaxy M55s,"[{'256GB 8GB RAM': '₹\u200923,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),180 g (6.35 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS,
8 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.4, (wide)","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,45W wired,"Thunder Black, Coral Green",
Samsung Galaxy Tab S10+,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",285.4 x 185.4 x 5.6 mm (11.24 x 7.30 x 0.22 in),"571 g (Wi-Fi), 576 g (5G) (1.26 lb)","Glass front, aluminum frame, aluminum back",Nano-SIM + ,"12.4 inches, 446.1 cm","1752 x 2800 pixels, 16:10 ratio (~266 ppi density)","Android 14, One UI 6.1",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.8 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,microSDXC (dedicated slot),"256GB 12GB RAM, 512GB 12GB RAM","13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF,
8 MP, f/2.2, (ultrawide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","12 MP, f/2.4, 120˚ (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 3.2, magnetic connector",Li-Po 10090 mAh,45W wired,"Moonstone Gray, Platinum Silver",About 1000 EUR
Samsung Galaxy Tab S10 Ultra,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",326.4 x 208.6 x 5.4 mm (12.85 x 8.21 x 0.21 in),"718 g (Wi-Fi), 723 g (5G) (1.58 lb)","Glass front, aluminum frame, aluminum back",Nano-SIM + ,"14.6 inches, 617.8 cm","1848 x 2960 pixels, 16:10 ratio (~239 ppi density)","Android 14, One UI 6.1",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.8 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,microSDXC (dedicated slot),"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF,
8 MP, f/2.2, (ultrawide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","12 MP, f/2.2, 26mm (wide),
12 MP, f/2.4, 120˚ (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 3.2, magnetic connector",Li-Po 11200 mAh,45W wired,"Moonstone Gray, Platinum Silver",About 1200 EUR
Samsung Galaxy S24 FE,"[{'128GB 8GB RAM': '$\u2009349.99'}, {'256GB 8GB RAM': '$\u2009519.00'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 32, 38, 40, 41, 66 - International","HSPA, LTE (CA), 5G",162 x 77.3 x 8 mm (6.38 x 3.04 x 0.31 in),213 g (7.51 oz),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",Nano-SIM,"6.7 inches, 110.2 cm","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 14, up to 7 major Android upgrades, One UI 6.1",Exynos 2400e (4 nm),10-core (1x3.1 GHz + 2x2.9 GHz + 3x2.6 GHz + 4x1.95 GHz),Xclipse 940,No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS,
8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps","10 MP, f/2.4, 26mm (wide), 1/3.0"", 1.22µm","4K@30/60fps, 1080p@30/60fps; gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (market/region dependent), Wi-Fi Direct","5.3, A2DP, LE",Yes,Unspecified,"USB Type-C 3.2, OTG",4700 mAh,"25W wired, PD, QC2, 50% in 30 min","Blue, Graphite, Gray, Mint, Yellow",
Samsung Galaxy A16 5G,"[{'128GB 4GB RAM': '$\u2009174.99'}, {'128GB 6GB RAM': '$\u2009162.75'}, {'256GB 8GB RAM': '$\u2009204.70'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66 - International","HSPA, LTE, 5G",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.7 inches, 110.2 cm","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 14, up to 6 major Android upgrades, One UI 6.1",Exynos 1330 (5 nm) or Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) or Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2 or Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF,
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,USB Type-C 2.0,5000 mAh,25W wired,"Blue Black, Light Gray, Gold, Light Green",
Samsung Galaxy F23,"[{'128GB 4GB RAM': '₹\u200914,990'}, {'128GB 6GB RAM': '₹\u200912,995'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",165.5 x 77 x 8.4 mm (6.52 x 3.03 x 0.33 in),198 g (6.98 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 12, upgradable to Android 14, One UI 6",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),Adreno 619,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@480fps","8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,"FM radio, recording","USB Type-C 2.0, OTG",Li-Po 5000 mAh,25W wired,"Aqua Blue, Forest Green",
Samsung Galaxy A33 5G,"[{'128GB 6GB RAM': '£\u2009144.99'}, {'128GB 8GB RAM': '₹\u200925,849'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",159.7 x 74 x 8.1 mm (6.29 x 2.91 x 0.32 in),186 g (6.56 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM,"6.4 inches, 98.9 cm","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)","Android 12, up to 4 major Android upgrades, One UI 6.1",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,25W wired,"Black, White, Blue, Peach",
